Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 16:59:07.188,2.857011, 4_Baseline, 436014.8643439, 2824, 1014.42596435547, 1362.63732910156, 687.5, 87.2727279663086, -5.00299215316772, -4.4500298500061, 7.49251937866211, 0.534351170063019, 2.54961824417114, 1.46564888954163,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857033, 4_Baseline, 436014.8645394, 2823, 1014.89520263672, 1364.83520507813, 687.5, 87.2727279663086, -5.03889894485474, -4.46439266204834, 7.51166963577271, 0.381679385900497, 2.45801520347595, 1.29770994186401,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857091, 4_Baseline, 436014.866392, 2823, 1014.89520263672, 1367.765625, 687.5, 87.2727279663086, -5.04847383499146, -4.47875547409058, 7.47576284408569, 0.137404575943947, 1.80152666568756, 1.35877859592438,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857116, 4_Baseline, 436014.8882471, 2823, 1014.89520263672, 1367.03295898438, 687.5, 87.2727279663086, -5.09156179428101, -4.4691801071167, 7.46140050888062, -0.0152671756222844, 1.70992362499237, 1.3893129825592,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857141, 4_Baseline, 436014.8883964, 2823, 1014.89520263672, 1366.30041503906, 687.5, 87.2727279663086, -5.10592460632324, -4.49311780929565, 7.46858167648315, -0.229007631540298, 1.54198467731476, 0.641221344470978,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857164, 4_Baseline, 436014.8903054, 2823, 1014.89520263672, 1364.83520507813, 687.5, 87.2727279663086, -5.09395551681519, -4.51466178894043, 7.46379423141479, -0.320610672235489, 1.22137403488159, 1.28244268894196,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857191, 4_Baseline, 436014.9142042, 2821, 1015.83502197266, 1364.83520507813, 687.5, 87.2727279663086, -5.10831832885742, -4.51705551147461, 7.42309999465942, -0.305343508720398, 1.02290081977844, 0.7175572514534,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857215, 4_Baseline, 436014.9144219, 2823, 1014.89520263672, 1364.1025390625, 687.5, 87.2727279663086, -5.10592460632324, -4.55296230316162, 7.4566125869751, 0.381679385900497, 0.80916029214859, 0.885496199131012,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.857237, 4_Baseline, 436014.9183037, 2823, 1014.89520263672, 1366.30041503906, 687.5, 87.2727279663086, -5.09395551681519, -4.56493139266968, 7.44943141937256, 0.519083976745605, 0.732824444770813, 0.977099239826202,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857276, 4_Baseline, 436014.9381107, 2822, 1015.36492919922, 1367.03295898438, 687.5, 87.2727279663086, -5.08916807174683, -4.55056858062744, 7.42070627212524, 0.0763358771800995, 0.793893158435822, 1.29770994186401,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857324, 4_Baseline, 436014.9440794, 2821, 1015.83502197266, 1369.23071289063, 687.5, 87.2727279663086, -5.10592460632324, -4.55056858062744, 7.40634346008301, 0, 0.80916029214859, 1.175572514534,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857364, 4_Baseline, 436014.9443228, 2823, 1014.89520263672, 1371.42858886719, 687.5, 87.2727279663086, -5.11310577392578, -4.55774974822998, 7.39676856994629, 0.229007631540298, 0.488549619913101, 1.23664116859436,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857404, 4_Baseline, 436014.9460228, 2821, 1015.83502197266, 1372.1611328125, 656.25, 91.4285736083984, -5.12746858596802, -4.55296230316162, 7.39676856994629, 0.656488537788391, 0.549618303775787, 1.19083964824677,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857444, 4_Baseline, 436014.9640298, 2820, 1016.30560302734, 1372.89379882813, 656.25, 91.4285736083984, -5.12746858596802, -4.57690000534058, 7.40394973754883, 0.687022924423218, 0.259541988372803, 1.23664116859436,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857476, 4_Baseline, 436014.9766266, 2821, 1015.83502197266, 1376.55676269531, 656.25, 91.4285736083984, -5.10831832885742, -4.59126281738281, 7.42309999465942, 0.900763332843781, 0.122137404978275, 0.961832046508789,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857498, 4_Baseline, 436014.9859702, 2821, 1015.83502197266, 1379.48718261719, 656.25, 91.4285736083984, -5.10592460632324, -4.58408117294312, 7.43028116226196, 1.08396947383881, 0.198473289608955, 1.31297707557678,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857522, 4_Baseline, 436014.9861339, 2819, 1016.77661132813, 1378.02197265625, 656.25, 91.4285736083984, -5.1107120513916, -4.5745062828064, 7.39437484741211, 1.19083964824677, -0.0152671756222844, 1.08396947383881,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857546, 4_Baseline, 436015.0099087, 2820, 1016.30560302734, 1376.55676269531, 656.25, 91.4285736083984, -5.12268114089966, -4.54817485809326, 7.43746280670166, 1.06870234012604, -0.259541988372803, 1.35877859592438,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857587, 4_Baseline, 436015.0118857, 2820, 1016.30560302734, 1378.75463867188, 656.25, 91.4285736083984, -5.1107120513916, -4.57211256027222, 7.45421886444092, 1.52671754360199, -0.412213742733002, 1.29770994186401,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857611, 4_Baseline, 436015.0120998, 2821, 1015.83502197266, 1380.2197265625, 656.25, 91.4285736083984, -5.07959318161011, -4.55296230316162, 7.45900678634644, 1.66412210464478, -0.427480906248093, 1.3893129825592,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857634, 4_Baseline, 436015.0122899, 2819, 1016.77661132813, 1380.2197265625, 656.25, 91.4285736083984, -5.07241153717041, -4.54578113555908, 7.43746280670166, 1.66412210464478, -0.412213742733002, 1.29770994186401,Starts - Go Pro
