Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 16:42:49.069,2.870984, 4_Baseline, 435036.9330157, 1715, 2082.04516601563, 1400.73254394531, 687.5, 87.2727279663086, -4.12687015533447, -3.58587670326233, 8.56014347076416, 1.16030538082123, -0.106870226562023, 0.946564912796021,Starts
0:25/12/2019 16:42:49.069,2.871012, 4_Baseline, 435036.9553359, 1715, 2082.04516601563, 1402.19775390625, 687.5, 87.2727279663086, -4.12447643280029, -3.57630157470703, 8.53381252288818, 1.11450386047363, 0.0916030555963516, 0.885496199131012,Starts
0:25/12/2019 16:42:49.069,2.871036, 4_Baseline, 435036.9556097, 1715, 2082.04516601563, 1402.19775390625, 687.5, 87.2727279663086, -4.11968898773193, -3.57390785217285, 8.59365653991699, 0.778625965118408, 0.152671754360199, 0.885496199131012,Starts
0:25/12/2019 16:42:49.069,2.871061, 4_Baseline, 435036.9574807, 1715, 2082.04516601563, 1402.19775390625, 687.5, 87.2727279663086, -4.11968898773193, -3.59545183181763, 8.56253719329834, 0.839694678783417, -0.442748099565506, 0.748091578483582,Starts
0:25/12/2019 16:42:49.069,2.871084, 4_Baseline, 435036.9576234, 1715, 2082.04516601563, 1401.46520996094, 687.5, 87.2727279663086, -4.11490106582642, -3.58108925819397, 8.56493091583252, 0.977099239826202, -0.152671754360199, 1.08396947383881,Starts
0:25/12/2019 16:42:49.069,2.871112, 4_Baseline, 435036.9605414, 1715, 2082.04516601563, 1400.73254394531, 687.5, 87.2727279663086, -4.12447643280029, -3.57630157470703, 8.5553560256958, 0.992366433143616, -0.534351170063019, 1.11450386047363,Starts
0:25/12/2019 16:42:49.069,2.871137, 4_Baseline, 435036.9613314, 1715, 2082.04516601563, 1398.53479003906, 687.5, 87.2727279663086, -4.13165760040283, -3.55475759506226, 8.58168792724609, 1.26717555522919, -0.458015263080597, 1.11450386047363,Starts
0:25/12/2019 16:42:49.113,2.915172, 4_Baseline, 435036.994247, 1715, 2082.04516601563, 1397.80224609375, 687.5, 87.2727279663086, -4.11250734329224, -3.57390785217285, 8.57929420471191, 0.748091578483582, -0.503816783428192, 0.916030526161194,Starts
0:25/12/2019 16:42:49.114,2.915383, 4_Baseline, 435036.9944491, 1714, 2084.02270507813, 1396.33703613281, 687.5, 87.2727279663086, -4.11968898773193, -3.56672644615173, 8.56014347076416, 1.00763356685638, -0.320610672235489, 1.08396947383881,Starts
0:25/12/2019 16:42:49.114,2.915457, 4_Baseline, 435036.9982716, 1715, 2082.04516601563, 1397.06958007813, 687.5, 87.2727279663086, -4.12447643280029, -3.57630157470703, 8.56014347076416, 1.03816795349121, -0.458015263080597, 0.870229005813599,Starts
0:25/12/2019 16:42:49.114,2.91551, 4_Baseline, 435037.000412, 1714, 2084.02270507813, 1393.40661621094, 687.5, 87.2727279663086, -4.09096336364746, -3.58348298072815, 8.55296230316162, 0.778625965118408, -0.503816783428192, 0.824427485466003,Starts
0:25/12/2019 16:42:49.114,2.915571, 4_Baseline, 435037.0045675, 1714, 2084.02270507813, 1394.87182617188, 687.5, 87.2727279663086, -4.10293245315552, -3.58348298072815, 8.5673246383667, 1.05343508720398, -0.244274809956551, 1.20610690116882,Starts
0:25/12/2019 16:42:49.114,2.915635, 4_Baseline, 435037.0048259, 1714, 2084.02270507813, 1395.60437011719, 687.5, 87.2727279663086, -4.09096336364746, -3.57869529724121, 8.53859996795654, 1.1297709941864, -0.167938932776451, 0.80916029214859,Starts
0:25/12/2019 16:42:49.114,2.915737, 4_Baseline, 435037.0050066, 1714, 2084.02270507813, 1399.26745605469, 687.5, 87.2727279663086, -4.09096336364746, -3.57869529724121, 8.56971836090088, 0.977099239826202, -0.167938932776451, 1.08396947383881,Starts
0:25/12/2019 16:42:49.156,2.958075, 4_Baseline, 435037.0441299, 1714, 2084.02270507813, 1403.66296386719, 687.5, 87.2727279663086, -4.11011362075806, -3.5499701499939, 8.57690048217773, 1.02290081977844, -0.0610687024891377, 1.03816795349121,Starts
0:25/12/2019 16:42:49.156,2.958123, 4_Baseline, 435037.0443709, 1714, 2084.02270507813, 1405.86083984375, 687.5, 87.2727279663086, -4.1053261756897, -3.57390785217285, 8.58168792724609, 0.870229005813599, -0.244274809956551, 1.06870234012604,Starts
0:25/12/2019 16:42:49.156,2.958159, 4_Baseline, 435037.0444983, 1714, 2084.02270507813, 1405.12817382813, 687.5, 87.2727279663086, -4.09335708618164, -3.57151412963867, 8.5553560256958, 1.20610690116882, 0.0610687024891377, 1.06870234012604,Starts
0:25/12/2019 16:42:49.157,2.95822, 4_Baseline, 435037.0461917, 1713, 2086.00439453125, 1400, 687.5, 87.2727279663086, -4.07420682907104, -3.56912016868591, 8.56971836090088, 1.11450386047363, 0.335877865552902, 0.961832046508789,Starts
0:25/12/2019 16:42:49.184,2.985802, 4_Baseline, 435037.0690141, 1714, 2084.02270507813, 1394.13916015625, 687.5, 87.2727279663086, -4.10771989822388, -3.55475759506226, 8.5553560256958, 1.11450386047363, 0.320610672235489, 1.49618315696716,Starts
0:25/12/2019 16:42:49.200,3.001602, 4_Baseline, 435037.0939554, 1714, 2084.02270507813, 1386.08056640625, 687.5, 87.2727279663086, -4.11490106582642, -3.55954527854919, 8.56253719329834, 0.793893158435822, 0.458015263080597, 1.1297709941864,Starts
0:25/12/2019 16:42:49.212,3.013397, 4_Baseline, 435037.0959659, 1714, 2084.02270507813, 1376.55676269531, 687.5, 87.2727279663086, -4.13165760040283, -3.54278874397278, 8.56971836090088, 1.00763356685638, 0.290076345205307, 0.916030526161194,Starts
0:25/12/2019 16:42:49.212,3.013442, 4_Baseline, 435037.0961738, 1714, 2084.02270507813, 1366.30041503906, 687.5, 87.2727279663086, -4.12447643280029, -3.54278874397278, 8.55056858062744, 0.824427485466003, 0.229007631540298, 1.22137403488159,Starts
0:25/12/2019 16:42:49.212,3.013468, 4_Baseline, 435037.096376, 1714, 2084.02270507813, 1355.31140136719, 687.5, 87.2727279663086, -4.11490106582642, -3.55236387252808, 8.5673246383667, 0.732824444770813, 0.259541988372803, 1.02290081977844,Starts
0:25/12/2019 16:42:49.212,3.013491, 4_Baseline, 435037.1049406, 1713, 2086.00439453125, 1350.18310546875, 687.5, 87.2727279663086, -4.12208271026611, -3.57390785217285, 8.52423667907715, 1.1297709941864, -0.229007631540298, 1.02290081977844,Starts
0:25/12/2019 16:42:49.223,3.024058, 4_Baseline, 435037.1069705, 1713, 2086.00439453125, 1347.25280761719, 687.5, 87.2727279663086, -4.14362668991089, -3.55715131759644, 8.54817485809326, 0.625954210758209, -0.213740453124046, 0.839694678783417,Starts
0:25/12/2019 16:42:49.223,3.024102, 4_Baseline, 435037.1072912, 1714, 2084.02270507813, 1342.85717773438, 687.5, 87.2727279663086, -4.15320158004761, -3.55475759506226, 8.54817485809326, 0.916030526161194, -0.549618303775787, 0.870229005813599,Starts
0:25/12/2019 16:42:49.223,3.024128, 4_Baseline, 435037.1088996, 1713, 2086.00439453125, 1340.65930175781, 687.5, 87.2727279663086, -4.14602041244507, -3.55236387252808, 8.56014347076416, 0.671755731105804, -0.534351170063019, 1.09923660755157,Starts
0:25/12/2019 16:42:49.256,3.057408, 4_Baseline, 435037.146902, 1713, 2086.00439453125, 1341.39196777344, 687.5, 87.2727279663086, -4.15798902511597, -3.57630157470703, 8.57450675964355, 0.748091578483582, -0.961832046508789, 0.748091578483582,Starts
0:25/12/2019 16:42:49.256,3.057455, 4_Baseline, 435037.1470221, 1712, 2087.98950195313, 1345.05493164063, 687.5, 87.2727279663086, -4.15320158004761, -3.57869529724121, 8.5553560256958, 0.656488537788391, -0.870229005813599, 0.702290058135986,Starts
0:25/12/2019 16:42:49.256,3.05757, 4_Baseline, 435037.1471618, 1714, 2084.02270507813, 1351.64831542969, 687.5, 87.2727279663086, -4.14602041244507, -3.57869529724121, 8.56253719329834, 0.778625965118408, -0.885496199131012, 0.824427485466003,Starts
0:25/12/2019 16:42:49.256,3.057604, 4_Baseline, 435037.1487576, 1713, 2086.00439453125, 1356.77661132813, 687.5, 87.2727279663086, -4.13405132293701, -3.55954527854919, 8.56493091583252, 0.656488537788391, -1.09923660755157, 1.00763356685638,Starts
0:25/12/2019 16:42:49.256,3.057637, 4_Baseline, 435037.1490149, 1714, 2084.02270507813, 1366.30041503906, 687.5, 87.2727279663086, -4.13644504547119, -3.57630157470703, 8.55296230316162, 0.564885497093201, -1.00763356685638, 0.763358771800995,Starts
0:25/12/2019 16:42:49.278,3.080269, 4_Baseline, 435037.1693803, 1713, 2086.00439453125, 1377.28942871094, 687.5, 87.2727279663086, -4.12208271026611, -3.56193900108337, 8.56253719329834, 0.7175572514534, -1.03816795349121, 0.824427485466003,Starts
0:25/12/2019 16:42:49.278,3.080334, 4_Baseline, 435037.1695161, 1713, 2086.00439453125, 1392.67395019531, 687.5, 87.2727279663086, -4.11729526519775, -3.57390785217285, 8.5673246383667, 0.961832046508789, -0.900763332843781, 0.519083976745605,Starts
0:25/12/2019 16:42:49.278,3.080377, 4_Baseline, 435037.1713629, 1713, 2086.00439453125, 1413.91943359375, 687.5, 87.2727279663086, -4.11968898773193, -3.57869529724121, 8.54578113555908, 0.839694678783417, -0.778625965118408, 0.687022924423218,Starts
0:25/12/2019 16:42:49.301,3.102876, 4_Baseline, 435037.1943145, 1713, 2086.00439453125, 1438.09521484375, 687.5, 87.2727279663086, -4.12926387786865, -3.59305810928345, 8.5433874130249, 0.656488537788391, -0.625954210758209, 0.625954210758209,Starts
