timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV,TEMP
20644.91132,1421473.25,-4.598443985,8.162776947,-0.914422512,-0.366412222,0.229007632,-1.908396959,283.2700806,3031,1356.043945,55.65217209,1078.125,0
20644.91249,1421481,-4.560143471,8.143626213,-0.919210076,-0.916030526,0.641221344,-2.656488657,283.1497498,3032,1364.102539,55.65217209,1078.125,0
20644.93024,1421488.875,-4.538599491,8.157989502,-0.995810866,-0.030534351,-0.167938933,-1.55725193,283.3904724,3030,1372.893799,55.65217209,1078.125,0
20644.93138,1421496.625,-4.548174858,8.157989502,-0.9670856,0,-0.229007632,-1.786259532,283.1497498,3032,1381.684937,55.65217209,1078.125,0
20644.9326,1421504.5,-4.500299454,8.12208271,-1.002992272,-0.641221344,-0.946564913,-1.358778596,283.3904724,3030,1387.545776,55.65217209,1078.125,0
20644.94237,1421512.25,-4.567325115,8.078994751,-1.000598431,-0.503816783,-1.145038128,-0.748091578,283.3904724,3030,1388.278442,55.65217209,1078.125,0
20644.95033,1421520.125,-4.619987965,7.961699486,-0.991023362,-0.305343509,-0.961832047,-1.251908422,283.3904724,3030,1381.684937,55.65217209,1078.125,0
20644.96731,1421527.875,-4.61520052,7.983243465,-1.017354846,-0.732824445,-0.748091578,-1.190839648,283.2700806,3031,1371.428589,55.65217209,1078.125,0
20644.96841,1421535.75,-4.57211256,8.045481682,-1.017354846,-0.778625965,-0.946564913,-1.206106901,283.3904724,3030,1361.172119,55.65217209,1078.125,0
20644.98628,1421543.5,-4.591262817,8.095750809,-0.979054451,-0.549618304,-0.793893158,-1.603053451,283.1497498,3032,1350.183105,55.65217209,1078.125,0
20644.98734,1421551.375,-4.574506283,8.117295265,-0.991023362,-0.717557251,-1.160305381,-1.969465613,283.3904724,3030,1336.996338,55.65217209,1078.125,0
20644.99118,1421559.125,-4.550568581,8.157989502,-0.98862958,-0.732824445,-1.389312983,-1.893129826,283.2700806,3031,1323.076904,55.65217209,1078.125,0
20645.00608,1421567,-4.562537193,8.12208271,-0.98862958,-0.702290058,-1.709923625,-2,283.5109863,3029,1307.692261,55.65217209,1078.125,0
20645.00724,1421574.75,-4.576900005,8.088569641,-0.974266887,-0.671755731,-1.862595439,-1.95419848,283.1497498,3032,1295.970703,55.65217209,1078.125,0
20645.00998,1421582.625,-4.555356026,8.076601028,-0.947935343,-0.656488538,-1.709923625,-1.55725193,283.3904724,3030,1287.912109,55.65217209,1078.125,0
